date,summary
1/8/2018,vishnu santhosh-37
1/8/2018,abhijith-44
1/8/2018,44-food
1/8/2018,15-bus
1/6/2018,650-bag
1/11/2018,15-bus
1/11/2018,40-canteen
1/12/2018,bus-15
1/12/2018,shake-50
1/12/2018,fine-40
1/16/2018,380 flex iedc abhijith
1/16/2018,80 guest food iedc
1/31/2018,Project money Received from Akshay S 4000
2/13/2020,Received realme buds
2/22/2020,Sent quote and invoice kma
2/19/2020,KMA meet
3/2/2020,KMA contacted for payment
5/3/2020,Spent 800 in yelloclub.in
5/3/2020,Arvind paid 400 namecheap
5/5/2020,Spend 2400 rupees solid space 2 spools
5/6/2020,realme buds 2 rs 600
5/8/2020,Gaming mouse 1200
5/5/2020,Spent 600 usb charge hub
5/5/2020,spent 150 mobile holder
5/10/2020,Paid internet fee 800
5/12/2020,Bitdefender 250
5/13/2020,Mouse 2350
5/15/2020,Bought pedestal fan- 2550
5/24/2020,kavachhealthcare.com - 712
5/29/2020,648 bought face mask and mobile cover
5/29/2020,109- Phone recharged- veil
6/1/2020,1299 JBL Fuze 
6/2/2020,12999 Galaxy M30
6/2/2020,12000 HP printer inktank
6/11/2020,230 photopaper 50 pcs
6/12/2020,560 passport cover
6/13/2020,100 namecheap annavarghese.xyz
6/28/2020,"1582 Weighing scale, sanitizers"
6/27/2020,100000 Reimagine india foundation
6/26/2020,+2000 KMA
6/23/2020,1498 Decathlon nicker
6/12/2020,890 Rotary cutter
6/19/2020,1499 Nike shoes
6/19/2020,389 roadster tshirt
6/15/2020,800 Decathlon nicker
6/28/2020,500 tshirt mynthra
6/25/2020,3650 bike service
6/6/2020,706 macehub renewal
6/28/2020,899 MI Polarised glasses
6/23/2020,30000 VU TV
7/12/2020,1028 car mobile holder+timer
7/12/2020,"1864 mouse, keyboard, car charger"
7/25/2020,599 20m ethernet cable
7/26/2020,4090 hosting namecheap
7/27/2020,100000 plaksha
7/31/2020,272500 Plaksha fee 
7/29/2020,172500 Plaksha 1st installment
7/24/2020,10000 Pranav
7/22/2020,399 BSNL Recharge
7/21/2020,416 Asianet topup 
8/7/2020,18490 Sony 1000xm3
8/7/2020,91 athira prasad website 
8/17/2020,825 internet
8/17/2020,650 bat grip nad guts
8/19/2020,285 bitdefender key
9/3/2020,202 Guitar Capo
8/29/2020,375 dp adapter
8/29/2020,350 Guitar strings
9/3/2020,3660 ram
9/2/2020,1300 cycle repair
9/5/2020,350 Shawarma
9/16/2020,699 Tp link wifi adapter
9/9/2020,444 card reader
9/7/2020,3187 ram
10/3/2020,899 keyboard
10/21/2020,424 writing pad
11/8/2020,379 laptop case
11/5/2020,799 ring light
11/3/2020,575 flexible tripod
11/1/2020,1099 desk light
11/8/2020,891 asianet broadband
11/9/2020,15000 bought gland pharma IPO
11/15/2020,3610 renesa+ fan
11/16/2020,1448 robu
11/14/2020,671 electrcomp nodemcu
11/12/2020,"1765 transparent+black pla, augment3di"
11/11/2020,486 alarm clock firstcry
11/8/2020,950 silver pla augment3di
11/5/2020,452 namecheap balconygarden.in
11/1/2020,950 black pla augment3di
10/19/2020,439 guitar case
10/16/2020,2149 Alexa and smart bulb
10/12/2020,891 asianet fibre
11/16/2020,448 hdmi splitter
11/26/2020," 2947 sara.com,namecheap mak3rspace"
12/16/2020,1545 Toelf UW
12/16/2020,6465 UW application
12/15/2020,150 books
12/12/2020,780 Star
12/7/2020,1800 Gopro lens
12/7/2020,250 FB ads
12/7/2020,200 FB ads
12/7/2020,250 fb ads
12/5/2020,350 health San Joe dental
11/28/2020,360 udemy 30 days of code
11/25/2020,250 seller services
11/24/2020,9841 divi
11/25/2020,15000 gland ipo( covered)
10/23/2020,806 thelandway
12/22/2020,649 portronics charger
12/24/2020,200 Insha
1/11/2021,13296 HPAIR 2021
1/27/2021,5378 hard disk
1/24/2021,49440 laptop sara
1/22/2021,30000 angelbroking UPI
1/21/2021,50000 zerodha UPI
1/20/2021,50000 zerodha UPI
1/18/2021,500 amazon prime
2021-01-16T04:30:00Z,bitcoin wazirx
1/13/2021,1150 namecheap renew mathewvarghese.space
1/8/2021,4568 harddisk
1/7/2021,650 christmas friend Plaksha
1/5/2021,891 veintrack namecheap renewal
1/4/2021,8500 Arv shoot
1/3/2021,1810 Shoes Kims
1/3/2021,6260 Coat Options
1/2/2021,3000 Arv Shoot
1/1/2021,800 Ipad pen + extension
12/30/2020,7000 Anna Watch (balanced)
1/1/2021,7800 Razor basilisk Akhil
2/6/2021,723 macebook.in
3/11/2021,199 airtel recharge
3/23/2021,22000 s6 lite tab
3/27/2021,2000 Galaxy buds Plus
4/13/2021,1700 rtpcr
4/11/2021,500 Netflix
4/13/2021,1150 Bluetooth Keyboard
4/13/2021,650 Seating
3/28/2021,650 masks
4/14/2021,650 masks
4/27/2021,319 bsnl recharge
5/7/2021,1000 veil domain renewal
5/10/2021,950 3D printing Filament grey PLA plus
5/9/2021,780 GST Fine
5/7/2021,800 veil India Domain renewal
2021-05-03T04:30:00Z,agsventures.in domain buy
5/3/2021,+2700 Website designing aju
4/30/2021,600 shabbyreviews.in domain Purchase
4/30/2021,711 groceries
2021-04-28T13:40:00Z,fine
4/28/2021,2540 GST fine
4/28/2021,3140 GST fine
4/28/2021,3740 GST fine
2021-04-28T10:50:00Z,fine
4/28/2021,1920 GST fine
4/27/2021,2380 GST fine
4/27/2021,319 mobile Recharge
4/26/2021,500 groceries
4/26/2021,215 bakery
4/21/2021,619  groceries
4/21/2021,500 Fuel
4/19/2021,+3000 Website design aju
4/16/2021,135 bakery
4/14/2021,160 Restaurant
4/14/2021,430Restaurant
4/13/2021,550 split wise plaksha
4/12/2021,500 Netflix
4/10/2021,200 chair back
4/8/2021,400 Rent mojo
4/9/2021,730 purse
4/8/2021,900 Internet
5/12/2021,900 Asianet broadband
5/14/2021,6099 Specter battery
5/15/2021,210 Shipping packages
5/16/2021,200 shiprocket
5/17/2021,300 grocery
5/17/2021,250 apron
5/17/2021,500 steam
5/21/2021,717 nodemcu makerbazar
5/21/2021,50 airtel
5/21/2021,253 sanitizer
5/23/2021,200 eyemist
2021-05-23T06:30:00Z,pla
5/23/2021,50 hdmi converter
5/26/2021,5000 auxilo loan advance 
6/4/2021,3500 japanese knife
6/4/2021,300 apron
6/18/2021,18350 University of Washington application confirmation
6/22/2021,749 skin doc
6/25/2021,1399 bean bag
7/2/2021,220 eyedrops srreedhareeyam
7/5/2021,549 Beanbag filling
7/2/2021,521 beans for bean bag
7/2/2021,246 zomato
7/2/2021,"30,000 anna"
6/30/2021,"97,727 plaksha refund"
6/29/2021,"10,000 Anna repayment masters"
6/20/2021,5126 Datacamp refund
6/19/2021,329 zomato
6/15/2021,"40,000 HRS"
6/13/2021,2500 Desktop mike
6/7/2021,891 Asianet broadband
6/3/2021,1273 Coral Plates
6/1/2021,"65,178, SBI interest"
5/30/2021,360 Phone stand sales
5/25/2021,"10,000 anna Masters repayment"
5/24/2021,"33,146, ICICI interest"
5/23/2021,1248  robu
5/21/2021,"40,000 HRS"
7/13/2021,1200 phone case and tripod
7/15/2021,1803 souled store
7/15/2021,1048 max
7/31/2021,4074 Stellar plus Namecheap hosting
8/6/2021,883 Broadband
8/12/2021,160 Id card
8/17/2021,Travel Spending
8/18/2021,Travel spending
8/21/2021,4000 clothes anna paid
8/22/2021,290 bitdefender
8/23/2021,143 swiggy
8/25/2021,"4500 wildcraft bag, jacket"
8/24/2021,310 Starbucks
8/24/2021,4131 Lenskart
8/24/2021,255 ola
8/24/2021,335 ola
8/24/2021,131 ola
8/23/2021,1974 pharmeasy
8/23/2021,81666 Sevis + Flight ticket transferred anna
8/22/2021,19323 DMart
8/18/2021,212 ola to railway station
8/18/2021,622 ola from railway station blre
8/17/2021,135 swiggy
8/17/2021,500 PA
8/17/2021,168 swiggy
8/16/2021,2257 oyo
8/16/2021,396 ola from airport
8/16/2021,699 IRCTC
8/9/2021,3187 flight kochi to chennai
8/7/2021,490 swiggy
8/10/2021,392 bakery
8/10/2021,300 petrol
8/9/2021,310 famous footwear
8/9/2021,490 golden horca food
8/7/2021,3176 vijay motors chain sproket
7/29/2021,3406 FZ25 service
7/25/2021,470 thoufeeque food
7/31/2021,310 golden horca food
7/29/2021,150 groceries
7/26/2021,2099 american tourister trolley bag
7/26/2021,120 orma food
7/24/2021,360 shawarmashi food
7/25/2021,290 food
7/23/2021,200 fb ads
7/22/2021,190 food
7/21/2021,121160 US visa ds 160 masters
7/18/2021,1299 decathlon pants
7/16/2021,482 mynthra
7/12/2021,426 food
7/11/2021,298 mobile recharge
7/11/2021,195 grocery
7/11/2021,190 grocery
7/9/2021,891 broadband
7/14/2021,400 mobile recharge
8/30/2021,1627 decathlon pant
8/30/2021,280 bakery
8/30/2021,2000 titer test
8/30/2021,1265 international driving permit
8/27/2021,11200 chair and table classic furnitures
8/31/2021,177 shaving gear
8/31/2021,781 godrej kartini chef knife
8/31/2021,16875 apartment deposit miles
9/1/2021,1000 Alna
9/2/2021,3641 drone hacks
9/3/2021,883 Asianet broadband
9/5/2021,112 food
9/13/2021,649 netflix
9/13/2021,168 BSNL international plan
9/13/2021,3780 full tank petrol
9/12/2021,500 DDRC SRL
9/10/2021,190 MOSC consultation
9/8/2021,607 Sanjoe MMR
9/8/2021,485 namecheap (will get) Aju
9/8/2021,100000 forex transfer
9/6/2021,8832 amazon
9/4/2021,112 zomato
9/1/2021,1420 metropolis
9/2/2021,883 internet
9/2/2021,4168 gopro subscription
9/5/2021,50 food
9/7/2021,1247 Tata AIG travel insurance
9/9/2021,50 BSNL Recharge
9/6/2021,50 BSNL recharge
9/27/2021,$35 rainier trek registration
9/27/2021,$8 Burger
9/27/2021,560 ssl for mathewvarghesemanu
9/29/2021,$3 HDMI mini cable
9/20/2021,$20 keyboard
10/4/2021,$8.5 Chipotle chicken bowl
10/4/2021,$12 groceries
10/8/2021,$4.4 laundry basket
10/8/2021,$2 nail clipper
10/8/2021,$17.58 H Mart
10/8/2021,$2 wending machine
10/4/2021,$30- Mobile Divin John - zelle
10/2/2021,$15.06 visitor center Rainier
10/9/2021,$10 gloves
10/12/2021,$25.5 Trader Joes
10/13/2021,$32 goodwill 
10/19/2021,$2 canteen vending
10/19/2021,17.6 Amazon cosmetics
10/19/2021,4.4 hair comb
10/18/2021,56.55 Amazon battery(return initiated)
10/15/2021,$23.74 Trader joes
10/14/2021,$2 canteen wending
10/9/2021,$52.5 Amazon down jacket(refund initiated)
10/11/2021,$3.35 Amazon batteries 
10/2/2021,$24.75 Shultzy's restauraunt
10/21/2021,$20 G402 mouse fb marketplace
10/29/2021,$12.1 shawarma
10/29/2021,$20 Mobile phone recharge
10/29/2021,$25 husky card
10/18/2021,$ 50 chair
10/14/2021,$ 485 UW fees
10/28/2021,$26.35 Trader Joe's
10/28/2021,$10 Google Colab
10/21/2021,$2 ECE vending machine
10/20/2021,$35.46 Target
10/31/2021,$8 Balconygarden.in
11/20/2021,$11.5 chipotle
11/19/2021,$20.3HMart 
11/19/2021,$12.3 Trader Joes 
11/17/2021,$3 wending machine milk
11/19/2021,$30 Husky card recharge
11/17/2021,$150 Decathlon shoes+raincoat
11/17/2021,$7.7 Annavarghese.com
11/9/2021,$ 13.9 temperature
11/9/2021,$10.9 Pulse oximeter
11/8/2021,"$30 Picam, lipbalm, face cream"
11/4/2021,$23 Trader joe
11/1/2021,$7.51 HMart
12/5/2021,$ 60 decathlon
12/4/2021,$ 14.2 SaraVarghese.com
12/1/2021,$ 13.2  Shawarma 
11/29/2021,Paid $ 700 credit card bill (do not count)
11/28/2021,$ 10 Colab pro
11/27/2021,$ 22 Dragon USB headset
11/26/2021,$ 2.7 Tacobell Bellevue Square
